Title,Authors,DOI,DOI link,Venue,Citation count,Year
Comparative Analysis of GenAI Models in Problem Solving on the LeetCode Platform,"Asset Zhaxylykov, Zhanat Nurbekova, Ainur Sagimbayeva, Shirinkyz Shekerbekova",10.1109/UBMK67458.2025.11206938,https://doi.org/10.1109/UBMK67458.2025.11206938,2025 10th International Conference on Computer Science and Engineering (UBMK),0,2025
Challenges for higher education in the era of widespread access to Generative AI,"K. Walczak, W. Cellary",10.18559/ebr.2023.2.743,https://doi.org/10.18559/ebr.2023.2.743,Economics and Business Review,110,2023
Editorial: Generative AI in education,"Juan-Diego Zapata-Rivera, Ilaria Torre, Chien-Sing Lee, Antonio Sarasa-Cabezuelo, Ioana Ghergulescu, Paul Libbrecht",10.3389/frai.2024.1532896,https://doi.org/10.3389/frai.2024.1532896,Frontiers Artif. Intell.,4,2024
"A review of the impact of generative AI in education using context, intervention, mechanism and outcome logic","Subhodeep Mukherjee, Manish Mohan Baral, C. Venkataiah, Walton Wider, Muhammad Ashraf Fauzi",10.1108/vjikms-03-2024-0101,https://doi.org/10.1108/vjikms-03-2024-0101,VINE Journal of Information and Knowledge Management Systems,0,2025
Generative AI: Exploring the Applications of Generative Models in Creative Industries,"G. Minni, Sayyed Nagulmeera, B. B. Lakshmi, Nagul Shaik",10.58482/ijeresm.v3i3.5,https://doi.org/10.58482/ijeresm.v3i3.5,"International Journal of Emerging Research in Engineering, Science, and Management",5,2024
[AI-reflection] writing with machines? Reconceptualizing student work in the age of AI,M. F. Hau,10.3389/fcomm.2025.1598988,https://doi.org/10.3389/fcomm.2025.1598988,Frontiers in Communication,1,2025
Use of Generative Artificial Intelligence tools in higher education environments,"Diego Seco, Stefan Grösser, A. M. Pedrosa",10.4995/muse.2025.23623,https://doi.org/10.4995/muse.2025.23623,"Multidisciplinary Journal for Education, Social and Technological Sciences",2,2025
Potential Benefits and Risks of Artificial Intelligence in Education,Mahmut Özer,10.14686/buefad.1416087,https://doi.org/10.14686/buefad.1416087,Bartın University Journal of Faculty of Education,24,2024
"Generative AI as a “placement buddy”: Supporting pre-service teachers in work-integrated learning, self-management and crisis resolution","Walter Barbieri, Ngoc Nguyen",10.14742/ajet.10035,https://doi.org/10.14742/ajet.10035,Australasian Journal of Educational Technology,5,2025
Mind the gap! Lagging policy support and Academics’ sensemaking and sense-giving of Gen AI applications,"Mathew Todres, Yuwei Sun",10.28945/5555,https://doi.org/10.28945/5555,InSITE Conference,0,2025
"Generative AI in Undergraduate Education: An Early View of Developments, Prospects, and Challenges of the AI Revolution","Terence Day, Matteo Gonzalez, Junghwan Kim, Paul N. McDaniel, Kyle Redican, Tingting Zhu",10.1080/00330124.2025.2478075,https://doi.org/10.1080/00330124.2025.2478075,Professional Geographer,2,2025
GenAI Competencies in Higher Education: An Analysis of Existing Literacy Frameworks,"Wonchan Choi, Hyerin Bak, Besiki Stvilia, Yan Zhang",10.1002/pra2.1416,https://doi.org/10.1002/pra2.1416,Proceedings of the Association for Information Science and Technology,0,2025
"Impact of Generative AI Adoption in Academia and How it Influences Ethics, Cognitive Thinking and AI Singularity","Daniel Marimekala, John Lamb",10.1109/ISEC61299.2024.10664756,https://doi.org/10.1109/ISEC61299.2024.10664756,International Symposium on Electronic Commerce,2,2024
Learning 101 reloaded: Revisiting the basics for the GenAI era,Junaid Qadir,10.1109/MPOT.2024.3405111,https://doi.org/10.1109/MPOT.2024.3405111,IEEE potentials,0,2024
Student Research Abstract: Generative AI in Rural High Schools: Challenges and Opportunities,-,-,-,-,0,2025
Do Not Worry That Generative AI May Compromise Human Creativity or Intelligence in the Future: It Already Has,Robert J. Sternberg,10.3390/jintelligence12070069,https://doi.org/10.3390/jintelligence12070069,Journal of Intelligence,20,2024
