O*NET-SOC Code,Title,working_with_computers_raw_0_100,working_with_computers_norm,e_mail_raw_0_100,e_mail_norm,using_hands_raw_0_100,using_hands_norm,kneeling_raw_0_100,kneeling_norm,originality_raw_0_100,originality_norm,thinking_creatively_raw_0_100,thinking_creatively_norm,digit,physical,iprisk,soc_major_group,domain
15-1211.00,Computer Systems Analysts,99.0,0.9949238578680202,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,50.0,0.54,65.75,0.6264044943820225,0.8307952622672448,0.5833333333334321,0.5832022471910112,15,S
15-1211.01,Health Informatics Specialists,94.0,0.9441624365482232,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,72.0,0.8333333333333334,82.25,0.8117977528089888,0.8054145516073463,0.416666666666864,0.8225655430711611,15,S
15-1212.00,Information Security Analysts,92.5,0.9289340101522842,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,64.0,0.6067415730337079,0.7978003384093768,0.416666666666864,0.573370786516854,15,S
15-1221.00,Computer and Information Research Scientists,99.25,0.99746192893401,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,65.5,0.7466666666666667,88.25,0.8792134831460674,0.8320642978002397,0.25,0.8129400749063671,15,S
15-1231.00,Computer Network Support Specialists,98.75,0.9923857868020303,20.002000000000002,1.0,20.0,0.33333333333372805,20.0,0.5,40.5,0.4133333333333334,59.5,0.5561797752808989,0.9961928934010151,0.416666666666864,0.48475655430711617,15,S
15-1232.00,Computer User Support Specialists,94.5,0.9492385786802029,20.0,0.6666666666664693,19.997999999999998,0.0,20.002,0.749999999999778,47.0,0.5,62.74999999999999,0.5926966292134831,0.8079526226733361,0.374999999999889,0.5463483146067416,15,S
15-1241.00,Computer Network Architects,93.75,0.9416243654822334,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,61.25000000000001,0.5758426966292136,0.8041455160743514,0.416666666666864,0.5579213483146068,15,S
15-1241.01,Telecommunications Engineering Specialists,87.00000000000001,0.8730964467005077,20.0,0.6666666666664693,20.0,0.33333333333372805,19.997999999999998,0.24999999999977796,53.0,0.58,65.5,0.6235955056179775,0.7698815566834885,0.291666666666753,0.6017977528089887,15,S
15-1242.00,Database Administrators,95.75,0.9619289340101521,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,68.25,0.6544943820224719,0.8142978003383108,0.416666666666864,0.597247191011236,15,S
15-1243.00,Database Architects,94.0,0.9441624365482232,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,50.0,0.54,72.5,0.702247191011236,0.8054145516073463,0.25,0.621123595505618,15,S
15-1243.01,Data Warehousing Specialists,99.0,0.9949238578680202,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,74.0,0.7191011235955056,0.8307952622672448,0.416666666666864,0.6295505617977528,15,S
15-1244.00,Network and Computer Systems Administrators,96.50000000000001,0.9695431472081218,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,63.24999999999999,0.598314606741573,0.8181049069372957,0.416666666666864,0.5891573033707864,15,S
15-1251.00,Computer Programmers,98.75,0.9923857868020303,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,50.0,0.54,83.74999999999999,0.8286516853932583,0.8295262267342498,0.25,0.6843258426966292,15,S
