soc,scenario,eta,t,task_id,p_ij
27-3092.00,Slow,1.0,2024.0,8653,0.08323609258802052
27-3092.00,Slow,1.0,2024.0,21183,0.07403109168423852
27-3092.00,Slow,1.0,2024.0,8663,0.07402426051473665
27-3092.00,Slow,1.0,2024.0,8655,0.09259739510450155
27-3092.00,Slow,1.0,2024.0,8659,0.08812309871065117
27-3092.00,Slow,1.0,2024.0,8656,0.06439914268658908
27-3092.00,Slow,1.0,2024.0,8654,0.07692812004826287
27-3092.00,Slow,1.0,2024.0,21185,0.0743100534918418
27-3092.00,Slow,1.0,2024.0,8657,0.05682508350138071
27-3092.00,Slow,1.0,2024.0,21184,0.07153657659188889
27-3092.00,Slow,1.0,2024.0,8662,0.07439727600235849
27-3092.00,Slow,1.0,2024.0,8661,0.06117407571373411
27-3092.00,Slow,1.0,2024.0,8658,0.06076544432095107
27-3092.00,Slow,1.0,2024.0,8660,0.04765228904084456
27-3092.00,Slow,1.0,2024.25,8653,0.08287819141317875
27-3092.00,Slow,1.0,2024.25,21183,0.07371277046246098
27-3092.00,Slow,1.0,2024.25,8663,0.07370596866583706
27-3092.00,Slow,1.0,2024.25,8655,0.0927832139004707
27-3092.00,Slow,1.0,2024.25,8659,0.08829993876193994
27-3092.00,Slow,1.0,2024.25,8656,0.06412223722274886
27-3092.00,Slow,1.0,2024.25,8654,0.07708249470024317
27-3092.00,Slow,1.0,2024.25,21185,0.07445917436778735
27-3092.00,Slow,1.0,2024.25,8657,0.056580745215989436
27-3092.00,Slow,1.0,2024.25,21184,0.07168013182381586
27-3092.00,Slow,1.0,2024.25,8662,0.07476299790745419
27-3092.00,Slow,1.0,2024.25,8661,0.06129683611191619
27-3092.00,Slow,1.0,2024.25,8658,0.060887384702616315
27-3092.00,Slow,1.0,2024.25,8660,0.047747914743541175
27-3092.00,Slow,1.0,2024.5,8653,0.08251885092157513
27-3092.00,Slow,1.0,2024.5,21183,0.07339316909660352
27-3092.00,Slow,1.0,2024.5,8663,0.07338639679098205
27-3092.00,Slow,1.0,2024.5,8655,0.09296977997565133
27-3092.00,Slow,1.0,2024.5,8659,0.08847748998398722
27-3092.00,Slow,1.0,2024.5,8656,0.0638442181702882
27-3092.00,Slow,1.0,2024.5,8654,0.07723749017729985
27-3092.00,Slow,1.0,2024.5,21185,0.07460889494049663
27-3092.00,Slow,1.0,2024.5,8657,0.0563354243124498
27-3092.00,Slow,1.0,2024.5,21184,0.0718242643700019
27-3092.00,Slow,1.0,2024.5,8662,0.07513019058075406
27-3092.00,Slow,1.0,2024.5,8661,0.06142009019693481
27-3092.00,Slow,1.0,2024.5,8658,0.0610098154733823
27-3092.00,Slow,1.0,2024.5,8660,0.04784392500959336
27-3092.00,Slow,1.0,2024.75,8653,0.08215806241329382
27-3092.00,Slow,1.0,2024.75,21183,0.07307227984886588
27-3092.00,Slow,1.0,2024.75,8663,0.07306553715308524
27-3092.00,Slow,1.0,2024.75,8655,0.09315709784695467
27-3092.00,Slow,1.0,2024.75,8659,0.08865575667544766
27-3092.00,Slow,1.0,2024.75,8656,0.06356507879814721
27-3092.00,Slow,1.0,2024.75,8654,0.07739311023199519
27-3092.00,Slow,1.0,2024.75,21185,0.07475921883482241
27-3092.00,Slow,1.0,2024.75,8657,0.05608911485134982
27-3092.00,Slow,1.0,2024.75,21184,0.0719689777200092
27-3092.00,Slow,1.0,2024.75,8662,0.07549886291228132
27-3092.00,Slow,1.0,2024.75,8661,0.061543840952868224
27-3092.00,Slow,1.0,2024.75,8658,0.06113273959739418
27-3092.00,Slow,1.0,2024.75,8660,0.0479403221634851
27-3092.00,Slow,1.0,2025.0,8653,0.08179581711816236
27-3092.00,Slow,1.0,2025.0,21183,0.0727500949189606
27-3092.00,Slow,1.0,2025.0,8663,0.07274338195257901
27-3092.00,Slow,1.0,2025.0,8655,0.0933451720677688
27-3092.00,Slow,1.0,2025.0,8659,0.08883474316969005
27-3092.00,Slow,1.0,2025.0,8656,0.06328481232090902
27-3092.00,Slow,1.0,2025.0,8654,0.0775493586471957
27-3092.00,Slow,1.0,2025.0,21185,0.07491014970489021
27-3092.00,Slow,1.0,2025.0,8657,0.055841810845313505
27-3092.00,Slow,1.0,2025.0,21184,0.07211427539158026
27-3092.00,Slow,1.0,2025.0,8662,0.07586902386385129
27-3092.00,Slow,1.0,2025.0,8661,0.06166809138789289
27-3092.00,Slow,1.0,2025.0,8658,0.06125616006273437
27-3092.00,Slow,1.0,2025.0,8660,0.048037108548471985
27-3092.00,Slow,1.0,2025.25,8653,0.08170502713693263
27-3092.00,Slow,1.0,2025.25,21183,0.07266934531604859
27-3092.00,Slow,1.0,2025.25,8663,0.07266263980078264
27-3092.00,Slow,1.0,2025.25,8655,0.09339230933968647
27-3092.00,Slow,1.0,2025.25,8659,0.08887960277358563
27-3092.00,Slow,1.0,2025.25,8656,0.06321456879104193
27-3092.00,Slow,1.0,2025.25,8654,0.07758851937853956
27-3092.00,Slow,1.0,2025.25,21185,0.0749479776933958
27-3092.00,Slow,1.0,2025.25,8657,0.05577982873990636
27-3092.00,Slow,1.0,2025.25,21184,0.072150691524659
27-3092.00,Slow,1.0,2025.25,8662,0.07596179775573252
27-3092.00,Slow,1.0,2025.25,8661,0.06169923242634193
27-3092.00,Slow,1.0,2025.25,8658,0.0612870930848666
27-3092.00,Slow,1.0,2025.25,8660,0.04806136623848024
27-3092.00,Slow,1.0,2025.5,8653,0.0816141454154633
27-3092.00,Slow,1.0,2025.5,21183,0.0725885141183635
27-3092.00,Slow,1.0,2025.5,8663,0.07258181606174229
27-3092.00,Slow,1.0,2025.5,8655,0.0934394942422409
27-3092.00,Slow,1.0,2025.5,8659,0.08892450770661064
27-3092.00,Slow,1.0,2025.5,8656,0.06314425428243718
27-3092.00,Slow,1.0,2025.5,8654,0.07762771968049274
27-3092.00,Slow,1.0,2025.5,21185,0.07498584390581864
27-3092.00,Slow,1.0,2025.5,8657,0.055717784003654694
27-3092.00,Slow,1.0,2025.5,21184,0.0721871444550223
27-3092.00,Slow,1.0,2025.5,8662,0.07605466539252871
27-3092.00,Slow,1.0,2025.5,8661,0.06173040493176882
27-3092.00,Slow,1.0,2025.5,8658,0.06131805736378315
27-3092.00,Slow,1.0,2025.5,8660,0.048085648440072966
27-3092.00,Slow,1.0,2025.75,8653,0.08152317181463345
27-3092.00,Slow,1.0,2025.75,21183,0.07250760120216963
27-3092.00,Slow,1.0,2025.75,8663,0.07250091061173365
27-3092.00,Slow,1.0,2025.75,8655,0.09348672684766239
27-3092.00,Slow,1.0,2025.75,8659,0.08896945803750517
27-3092.00,Slow,1.0,2025.75,8656,0.06307386868745794
27-3092.00,Slow,1.0,2025.75,8654,0.07766695961306272
27-3092.00,Slow,1.0,2025.75,21185,0.07502374840012399
27-3092.00,Slow,1.0,2025.75,8657,0.05565567654158094
27-3092.00,Slow,1.0,2025.75,21184,0.07222363423847199
27-3092.00,Slow,1.0,2025.75,8662,0.07614762691640083
27-3092.00,Slow,1.0,2025.75,8661,0.061761608951892165
27-3092.00,Slow,1.0,2025.75,8658,0.06134905294688388
27-3092.00,Slow,1.0,2025.75,8660,0.04810995519042114
27-3092.00,Slow,1.0,2026.0,8653,0.08143210619504067
27-3092.00,Slow,1.0,2026.0,21183,0.07242660644348095
27-3092.00,Slow,1.0,2026.0,8663,0.07241992332678221
27-3092.00,Slow,1.0,2026.0,8655,0.09353400722832726
27-3092.00,Slow,1.0,2026.0,8659,0.08901445383514835
27-3092.00,Slow,1.0,2026.0,8656,0.06300341189824962
27-3092.00,Slow,1.0,2026.0,8654,0.07770623923637836
27-3092.00,Slow,1.0,2026.0,21185,0.07506169123439439
27-3092.00,Slow,1.0,2026.0,8657,0.05559350625851542
27-3092.00,Slow,1.0,2026.0,21184,0.07226016093092277
27-3092.00,Slow,1.0,2026.0,8662,0.07624068246979744
27-3092.00,Slow,1.0,2026.0,8661,0.0617928445345271
27-3092.00,Slow,1.0,2026.0,8658,0.061380079881664516
27-3092.00,Slow,1.0,2026.0,8660,0.048134286526770945
27-3092.00,Slow,1.0,2026.25,8653,0.08134094841700037
27-3092.00,Slow,1.0,2026.25,21183,0.07234552971806046
27-3092.00,Slow,1.0,2026.25,8663,0.07233885408266237
27-3092.00,Slow,1.0,2026.25,8655,0.09358133545675835
27-3092.00,Slow,1.0,2026.25,8659,0.08905949516855871
27-3092.00,Slow,1.0,2026.25,8656,0.06293288380673931
27-3092.00,Slow,1.0,2026.25,8654,0.07774555861069023
27-3092.00,Slow,1.0,2026.25,21185,0.07509967246682991
27-3092.00,Slow,1.0,2026.25,8657,0.055531273059095804
27-3092.00,Slow,1.0,2026.25,21184,0.07229672458840253
27-3092.00,Slow,1.0,2026.25,8662,0.07633383219545543
