soc,scenario,eta,t,R,J_5,J_8,J_10,A
27-3092.00,Slow,0.5,2024.0,0.0316604845409123,0.0,0.0,0.09999999999999998,0.65
27-3092.00,Slow,0.5,2024.25,0.03242600061185279,0.0,0.0,0.09999999999999998,0.665
27-3092.00,Slow,0.5,2024.5,0.0331931676846917,0.0,0.0,0.09999999999999998,0.6799999999999999
27-3092.00,Slow,0.5,2024.75,0.033961991106311894,0.0,0.0,0.09999999999999998,0.695
27-3092.00,Slow,0.5,2025.0,0.03473247624670978,0.0,0.125,0.09999999999999998,0.71
27-3092.00,Slow,0.5,2025.25,0.03492535780687539,0.0,0.125,0.09999999999999998,0.71375
27-3092.00,Slow,0.5,2025.5,0.03511834364592464,0.0,0.125,0.09999999999999998,0.7174999999999999
27-3092.00,Slow,0.5,2025.75,0.035311433848446136,0.0,0.125,0.09999999999999998,0.72125
27-3092.00,Slow,0.5,2026.0,0.03550462849911944,0.0,0.125,0.09999999999999998,0.725
27-3092.00,Slow,0.5,2026.25,0.03569792768271619,0.0,0.125,0.09999999999999998,0.72875
27-3092.00,Slow,0.5,2026.5,0.03589133148409969,0.0,0.125,0.09999999999999998,0.7324999999999999
27-3092.00,Slow,0.5,2026.75,0.03608483998822504,0.0,0.125,0.09999999999999998,0.73625
27-3092.00,Slow,0.5,2027.0,0.03627845328013961,0.0,0.125,0.09999999999999998,0.74
27-3092.00,Slow,0.5,2027.25,0.03647217144498258,0.0,0.125,0.09999999999999998,0.7437499999999999
27-3092.00,Slow,0.5,2027.5,0.03666599456798546,0.0,0.125,0.09999999999999998,0.7474999999999999
27-3092.00,Slow,0.5,2027.75,0.036859922734472375,0.0,0.125,0.09999999999999998,0.75125
27-3092.00,Slow,0.5,2028.0,0.0370539560298598,0.0,0.125,0.09999999999999998,0.755
27-3092.00,Slow,0.5,2028.25,0.03724809453965654,0.0,0.125,0.09999999999999998,0.7587499999999999
27-3092.00,Slow,0.5,2028.5,0.037442338349464935,0.0,0.125,0.09999999999999998,0.7625
27-3092.00,Slow,0.5,2028.75,0.03763668754497919,0.0,0.125,0.09999999999999998,0.76625
27-3092.00,Slow,0.5,2029.0,0.03783114221198754,0.0,0.125,0.09999999999999998,0.77
27-3092.00,Slow,0.5,2029.25,0.03802570243637049,0.0,0.125,0.09999999999999998,0.7737499999999999
27-3092.00,Slow,0.5,2029.5,0.0382203683041025,0.0,0.125,0.09999999999999998,0.7775
27-3092.00,Slow,0.5,2029.75,0.03841513990125105,0.0,0.125,0.09999999999999998,0.78125
27-3092.00,Slow,0.5,2030.0,0.038610017313977035,0.0,0.125,0.09999999999999998,0.7849999999999999
27-3092.00,Slow,0.5,2030.25,0.038805000628535494,0.0,0.125,0.09999999999999998,0.78875
27-3092.00,Slow,0.5,2030.5,0.03900008993127453,0.0,0.125,0.09999999999999998,0.7925
27-3092.00,Slow,0.5,2030.75,0.03919528530863679,0.0,0.125,0.09999999999999998,0.7962499999999999
27-3092.00,Slow,0.5,2031.0,0.039390586847158765,0.0,0.125,0.09999999999999998,0.7999999999999999
27-3092.00,Slow,0.5,2031.25,0.03958599463347065,0.0,0.125,0.09999999999999998,0.80375
27-3092.00,Slow,0.5,2031.5,0.03978150875429749,0.0,0.125,0.09999999999999998,0.8075
27-3092.00,Slow,0.5,2031.75,0.03997712929645875,0.0,0.125,0.09999999999999998,0.8112499999999999
27-3092.00,Slow,0.5,2032.0,0.040172856346867875,0.0,0.125,0.09999999999999998,0.815
27-3092.00,Slow,0.5,2032.25,0.040368689992533686,0.0,0.125,0.09999999999999998,0.81875
27-3092.00,Slow,0.5,2032.5,0.04056463032055915,0.0,0.125,0.09999999999999998,0.8225
27-3092.00,Slow,0.5,2032.75,0.040760677418142655,0.0,0.125,0.09999999999999998,0.8262499999999999
27-3092.00,Slow,0.5,2033.0,0.04095683137257724,0.0,0.125,0.09999999999999998,0.83
27-3092.00,Slow,0.5,2033.25,0.04115309227125161,0.0,0.125,0.09999999999999998,0.83375
27-3092.00,Slow,0.5,2033.5,0.0413494602016493,0.0,0.125,0.09999999999999998,0.8374999999999999
27-3092.00,Slow,0.5,2033.75,0.041545935251349635,0.0,0.125,0.09999999999999998,0.8412499999999999
27-3092.00,Slow,0.5,2034.0,0.04174251750802733,0.0,0.125,0.09999999999999998,0.845
27-3092.00,Slow,0.5,2034.25,0.041939207059452935,0.0,0.125,0.09999999999999998,0.8487499999999999
27-3092.00,Slow,0.5,2034.5,0.042136003993492474,0.0,0.125,0.09999999999999998,0.8524999999999999
27-3092.00,Slow,0.5,2034.75,0.0423329083981087,0.0,0.125,0.09999999999999998,0.85625
27-3092.00,Slow,0.5,2035.0,0.04252992036135964,0.0,0.125,0.09999999999999998,0.86
27-3092.00,Slow,1.0,2024.0,0.06031682902503435,0.4,0.125,0.09999999999999998,0.65
27-3092.00,Slow,1.0,2024.25,0.06183258701978479,0.4,0.125,0.09999999999999998,0.665
27-3092.00,Slow,1.0,2024.5,0.06335444070810133,0.4,0.125,0.09999999999999998,0.6799999999999999
27-3092.00,Slow,1.0,2024.75,0.0648824269352579,0.4,0.125,0.09999999999999998,0.695
27-3092.00,Slow,1.0,2025.0,0.06641658284407534,0.4,0.125,0.09999999999999998,0.71
27-3092.00,Slow,1.0,2025.25,0.0668010902152878,0.4,0.125,0.09999999999999998,0.71375
27-3092.00,Slow,1.0,2025.5,0.06718598611833894,0.4,0.125,0.09999999999999998,0.7174999999999999
27-3092.00,Slow,1.0,2025.75,0.06757127114242416,0.4,0.125,0.09999999999999998,0.72125
27-3092.00,Slow,1.0,2026.0,0.06795694587793101,0.4,0.125,0.09999999999999998,0.725
27-3092.00,Slow,1.0,2026.25,0.0683430109164416,0.4,0.125,0.09999999999999998,0.72875
27-3092.00,Slow,1.0,2026.5,0.0687294668507358,0.4,0.25,0.09999999999999998,0.7324999999999999
27-3092.00,Slow,1.0,2026.75,0.06911631427479512,0.4,0.25,0.09999999999999998,0.73625
27-3092.00,Slow,1.0,2027.0,0.06950355378380449,0.4,0.25,0.09999999999999998,0.74
27-3092.00,Slow,1.0,2027.25,0.06989118597415644,0.4,0.25,0.09999999999999998,0.7437499999999999
27-3092.00,Slow,1.0,2027.5,0.07027921144345334,0.4,0.25,0.09999999999999998,0.7474999999999999
27-3092.00,Slow,1.0,2027.75,0.07066763079051114,0.4,0.25,0.09999999999999998,0.75125
27-3092.00,Slow,1.0,2028.0,0.0710564446153614,0.4,0.25,0.09999999999999998,0.755
27-3092.00,Slow,1.0,2028.25,0.07144565351925589,0.4,0.25,0.09999999999999998,0.7587499999999999
27-3092.00,Slow,1.0,2028.5,0.07183525810466847,0.4,0.25,0.09999999999999998,0.7625
27-3092.00,Slow,1.0,2028.75,0.07222525897529855,0.4,0.25,0.09999999999999998,0.76625
27-3092.00,Slow,1.0,2029.0,0.0726156567360745,0.4,0.25,0.19999999999999996,0.77
27-3092.00,Slow,1.0,2029.25,0.07300645199315633,0.4,0.25,0.19999999999999996,0.7737499999999999
27-3092.00,Slow,1.0,2029.5,0.07339764535393944,0.4,0.25,0.19999999999999996,0.7775
27-3092.00,Slow,1.0,2029.75,0.07378923742705665,0.4,0.25,0.19999999999999996,0.78125
27-3092.00,Slow,1.0,2030.0,0.0741812288223826,0.4,0.25,0.19999999999999996,0.7849999999999999
27-3092.00,Slow,1.0,2030.25,0.07457362015103652,0.4,0.25,0.19999999999999996,0.78875
27-3092.00,Slow,1.0,2030.5,0.07496641202538487,0.4,0.25,0.19999999999999996,0.7925
27-3092.00,Slow,1.0,2030.75,0.07535960505904524,0.4,0.25,0.19999999999999996,0.7962499999999999
27-3092.00,Slow,1.0,2031.0,0.0757531998668889,0.4,0.25,0.19999999999999996,0.7999999999999999
27-3092.00,Slow,1.0,2031.25,0.07614719706504484,0.4,0.25,0.19999999999999996,0.80375
27-3092.00,Slow,1.0,2031.5,0.07654159727090196,0.4,0.25,0.19999999999999996,0.8075
27-3092.00,Slow,1.0,2031.75,0.0769364011031131,0.4,0.25,0.19999999999999996,0.8112499999999999
27-3092.00,Slow,1.0,2032.0,0.0773316091815981,0.4,0.25,0.19999999999999996,0.815
27-3092.00,Slow,1.0,2032.25,0.07772722212754649,0.4,0.25,0.19999999999999996,0.81875
27-3092.00,Slow,1.0,2032.5,0.0781232405634219,0.4,0.25,0.19999999999999996,0.8225
27-3092.00,Slow,1.0,2032.75,0.07851966511296404,0.4,0.25,0.19999999999999996,0.8262499999999999
27-3092.00,Slow,1.0,2033.0,0.07891649640119283,0.4,0.25,0.19999999999999996,0.83
27-3092.00,Slow,1.0,2033.25,0.07931373505441133,0.4,0.25,0.19999999999999996,0.83375
27-3092.00,Slow,1.0,2033.5,0.07971138170020889,0.4,0.25,0.19999999999999996,0.8374999999999999
27-3092.00,Slow,1.0,2033.75,0.0801094369674651,0.4,0.25,0.19999999999999996,0.8412499999999999
27-3092.00,Slow,1.0,2034.0,0.0805079014863528,0.4,0.25,0.19999999999999996,0.845
27-3092.00,Slow,1.0,2034.25,0.08090677588834033,0.4,0.25,0.19999999999999996,0.8487499999999999
