task_id,task_text,IM,FR,w,s,c,evidence_note
21671,Monitor functioning of equipment to ensure system operates in conformance with specifications.,4.1200,4.5127,0.079173,0.25,0.50,"dims=D7;sim=[D7:0.75,D6:0.38,D5:0.35];s=0.25;c=0.50;sources=S4"
21670,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",3.7400,4.5183,0.071959,0.50,0.75,"dims=D2;sim=[D2:0.62,D4:0.40,D7:0.35];s=0.50;c=0.75;sources=S1|S2"
21662,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,4.0800,4.1115,0.071433,0.25,0.50,"dims=D5;sim=[D5:0.64,D2:0.31,D1:0.31];s=0.25;c=0.50;sources=S1|S3"
21669,"Develop or direct software system testing or validation procedures, programming, or documentation.",3.9000,4.1829,0.069468,0.50,0.75,"dims=D3,D1;sim=[D3:0.59,D1:0.52,D4:0.49];weights=[D3:0.53,D1:0.47];s=0.50;c=0.75;sources=S1|S2|S5|S6"
21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",3.7500,4.3124,0.068864,0.25,0.50,"dims=D5;sim=[D5:0.46,D6:0.45,D7:0.44];s=0.25;c=0.50;sources=S1|S3"
21676,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",3.5900,4.2987,0.065716,0.25,0.50,"dims=D5,D7;sim=[D5:0.50,D7:0.49,D2:0.35];weights=[D5:0.51,D7:0.49];s=0.25;c=0.50;sources=S1|S3|S4"
21678,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",3.5100,4.1432,0.061928,0.50,0.75,"dims=D6;sim=[D6:0.42,D7:0.40,D1:0.35];s=0.50;c=0.75;sources=S3"
21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",3.5600,3.9967,0.060589,0.50,0.75,"dims=D2,D1;sim=[D2:0.50,D1:0.49,D7:0.36];weights=[D2:0.51,D1:0.49];s=0.50;c=0.75;sources=S1|S2"
21673,"Prepare reports or correspondence concerning project specifications, activities, or status.",3.6800,3.7286,0.058429,0.50,0.75,"dims=D6;sim=[D6:0.63,D7:0.51,D5:0.40];s=0.50;c=0.75;sources=S3"
21668,Determine system performance standards.,3.5300,3.8258,0.057509,0.25,0.50,"dims=D7,D5;sim=[D7:0.47,D5:0.45,D2:0.31];weights=[D7:0.51,D5:0.49];s=0.25;c=0.50;sources=S1|S3|S4"
21661,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",3.6100,3.5373,0.054378,0.50,0.75,"dims=D2,D7;sim=[D2:0.48,D7:0.46,D5:0.41];weights=[D2:0.51,D7:0.49];s=0.50;c=0.75;sources=S1|S2|S4"
21666,Coordinate installation of software system.,3.7500,3.4029,0.054340,0.50,0.75,"dims=D6;sim=[D6:0.33,D7:0.29,D4:0.26];s=0.50;c=0.75;sources=S3"
21665,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",3.3700,3.6503,0.052384,0.25,0.50,"dims=D4;sim=[D4:0.47,D7:0.44,D6:0.43];s=0.25;c=0.50;sources=S4"
21663,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,3.3200,3.5581,0.050303,0.25,0.50,"dims=D5;sim=[D5:0.45,D6:0.43,D7:0.42];s=0.25;c=0.50;sources=S1|S3"
21677,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",3.1300,3.5764,0.047668,0.50,0.75,"dims=D6;sim=[D6:0.40,D1:0.37,D7:0.36];s=0.50;c=0.75;sources=S3"
21672,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.",3.0700,2.9196,0.038168,0.25,0.50,"dims=D7,D5;sim=[D7:0.51,D5:0.45,D6:0.37];weights=[D7:0.53,D5:0.47];s=0.25;c=0.50;sources=S1|S3|S4"
21679,Train users to use new or modified equipment.,2.9100,3.0416,0.037691,0.50,0.75,"dims=D6;sim=[D6:0.40,D2:0.34,D7:0.31];s=0.50;c=0.75;sources=S3"
