task_id,task_text,IM,FR,w,s,c,evidence_note
16517,Process or interpret signals or sensor data.,4.0400,4.3216,0.069000,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16509,"Supervise technologists, technicians, or other engineers.",3.7600,4.3077,0.064011,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16511,Provide technical support for robotic systems.,3.8100,4.0771,0.061390,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16521,Debug robotics programs.,3.9200,3.9165,0.060675,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16512,"Review or approve designs, calculations, or cost estimates.",4.1100,3.6785,0.059750,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16516,Create back-ups of robot programs or parameters.,3.8500,3.6539,0.055595,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
21057,"Build, configure, or test robots or robotic applications.",3.8900,3.6073,0.055456,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16520,"Install, calibrate, operate, or maintain robots.",3.6800,3.6000,0.052357,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
21058,Evaluate robotic systems or prototypes.,3.6800,3.4000,0.049448,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16528,"Design software to control robotic systems for applications, such as military defense or manufacturing.",3.7500,3.3335,0.049403,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16523,Conduct research on robotic technology to create new robotic systems or system capabilities.,3.7400,3.2309,0.047755,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16514,"Document robotic application development, maintenance, or changes.",3.6000,3.2000,0.045528,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16510,"Integrate robotics with peripherals, such as welders, controllers, or other equipment.",3.6900,3.1153,0.045431,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16515,Write algorithms or programming code for ad hoc robotic applications.,3.4100,3.2274,0.043494,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16530,"Design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems.",3.7800,2.8260,0.042217,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16518,Plan mobile robot paths and teach path plans to robots.,3.3200,3.2000,0.041987,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16519,Investigate mechanical failures or unexpected maintenance problems.,3.7100,2.8277,0.041460,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16525,"Conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions.",3.6100,2.8259,0.040317,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16522,Design end-of-arm tooling.,3.7900,2.6817,0.040167,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
16513,Make system device lists or event timing charts.,3.1800,2.7500,0.034560,0.50,0.50,placeholder=authoritative_sc_required | FR=E[FT category] from Scale ID FT (Frequency of Task)
