soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
49-1011.00,2024.0,2035.0,Slow,0.5,1,2912,D5,0.058948,0.0527513413361412,0.0508696606992327,-0.0018816806369085018,0.004039169650383652
49-1011.00,2024.0,2035.0,Slow,0.5,2,2929,D2,0.057635,0.0628888441455275,0.0644841311967368,0.0015952870512092876,0.0034245655983683974
49-1011.00,2024.0,2035.0,Slow,0.5,3,2918,D4,0.056513,0.0616645657880835,0.0632287968477694,0.0015642310596859013,0.0033578984238846997
49-1011.00,2024.0,2035.0,Slow,0.5,4,2925,D1,0.056277,0.0614070526932914,0.0629647514766853,0.0015576987833939016,0.0033438757383426505
49-1011.00,2024.0,2035.0,Slow,0.5,5,2915,D2,0.052655,0.057454881382541,0.0589123263323359,0.0014574449497949046,0.003128663166167951
49-1011.00,2024.0,2035.0,Slow,0.5,6,2930,D6,0.04069,0.0443991857080162,0.0455254497856376,0.0011262640776213972,0.002417724892818801
49-1011.00,2024.0,2035.0,Slow,0.5,7,2932,D4,0.033335,0.0363737246393885,0.0372964086656237,0.0009226840262352015,0.001980704332811851
49-1011.00,2024.0,2035.0,Slow,0.5,8,2914,D7,0.060013,0.057245336864821,0.0564048761327558,-0.0008404607320652013,0.001804061933622099
49-1011.00,2024.0,2035.0,Slow,0.5,9,15263,D7,0.058933,0.0562151440097061,0.0553898082937313,-0.0008253357159747968,0.0017715958531343487
49-1011.00,2024.0,2035.0,Slow,0.5,10,15262,D7,0.056987,0.0543588891059529,0.0535608064282298,-0.0007980826777230984,0.0017130967858851008
49-1011.00,2024.0,2035.0,Slow,1.0,1,2912,D5,0.058948,0.0469555284330964,0.0435633862603201,-0.003392142172776301,0.0076923068698399495
49-1011.00,2024.0,2035.0,Slow,1.0,2,2929,D2,0.057635,0.0686783481824699,0.071801930171465,0.0031235819889950944,0.007083465085732498
49-1011.00,2024.0,2035.0,Slow,1.0,3,2918,D4,0.056513,0.0673413635956609,0.0704041377596946,0.0030627741640337075,0.006945568879847302
49-1011.00,2024.0,2035.0,Slow,1.0,4,2925,D1,0.056277,0.0670601440212519,0.0701101279475932,0.0030499839263413014,0.006916563973796603
49-1011.00,2024.0,2035.0,Slow,1.0,5,2915,D2,0.052655,0.0627441385190934,0.0655978248144094,0.002853686295316002,0.0064714124072047
49-1011.00,2024.0,2035.0,Slow,1.0,6,2930,D6,0.04069,0.0484865444182302,0.0506917765017248,0.0022052320834946015,0.005000888250862402
49-1011.00,2024.0,2035.0,Slow,1.0,7,2932,D4,0.033335,0.0397222648852716,0.0415288859593265,0.0018066210740549024,0.0040969429796632525
49-1011.00,2024.0,2035.0,Slow,1.0,8,2914,D7,0.060013,0.0541886403128136,0.0525411587752742,-0.0016474815375394011,0.0037359206123629
49-1011.00,2024.0,2035.0,Slow,1.0,9,15263,D7,0.058933,0.0532134560771007,0.0515956227834508,-0.001617833293649902,0.0036686886082746006
49-1011.00,2024.0,2035.0,Slow,1.0,10,15262,D7,0.056987,0.0514563185560847,0.0498919070055913,-0.0015644115504934025,0.0035475464972043527
49-1011.00,2024.0,2035.0,Slow,2.0,1,2929,D2,0.057635,0.0817102153829971,0.0874564614632733,0.005746246080276199,0.014910730731636648
49-1011.00,2024.0,2035.0,Slow,2.0,2,2918,D4,0.056513,0.0801195350384196,0.0857539170065752,0.005634381968155591,0.014620458503287598
49-1011.00,2024.0,2035.0,Slow,2.0,3,2925,D1,0.056277,0.0797849534329648,0.0853958060513339,0.005610852618369105,0.01455940302566695
49-1011.00,2024.0,2035.0,Slow,2.0,4,2912,D5,0.058948,0.0365484144709767,0.0312020252856384,-0.005346389185338304,0.0138729873571808
49-1011.00,2024.0,2035.0,Slow,2.0,5,2915,D2,0.052655,0.074649976420434,0.079899713339961,0.005249736919527001,0.0136223566699805
49-1011.00,2024.0,2035.0,Slow,2.0,6,2930,D6,0.04069,0.0576869725676091,0.0617437913930873,0.0040568188254781964,0.01052689569654365
49-1011.00,2024.0,2035.0,Slow,2.0,7,2932,D4,0.033335,0.0472596517704903,0.050583172427834,0.0033235206573436968,0.008624086213917002
49-1011.00,2024.0,2035.0,Slow,2.0,8,2914,D7,0.060013,0.047356937791246,0.044336138036549,-0.003020799754697004,0.0078384309817255
49-1011.00,2024.0,2035.0,Slow,2.0,9,15263,D7,0.058933,0.046504697563053,0.0435382604253735,-0.002966437137679495,0.007697369787313248
49-1011.00,2024.0,2035.0,Slow,2.0,10,15262,D7,0.056987,0.0449690869296608,0.0421006031741259,-0.0028684837555348966,0.007443198412937051
