"attribution_id","incident_id","attribution_year","attribution_month","attribution_day","attribution_date","attribution_basis","attribution_type","attribution_subtype","attributing_country","attributing_actor","attributing_company","settled_attribution","initiator_name","initiator_alpha_2","initiator_country","initiator_category","initiator_subcategory"
6,6,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","US","United States","Non-state-group","Hacktivist(s)"
7,7,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Antijapan","KR","Korea, Republic of","Non-state-group","Hacktivist(s)"
10,10,"2013","","","2013","Attribution by third-party","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
11,11,"2005","","","2005","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
12,11,"2005","","","2005","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available","","Unknown","CN","China","State affiliated actor","Not available"
15,13,"2009","","","2009","Attribution by third-party","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","KP","Korea, Democratic People's Republic of","State","Not available"
18,15,"2004","","","2004","Attribution by third-party","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
22,18,"2015","","","2015","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013/LotusBlossum (PLA, Unit 78020)","CN","China","State affiliated actor","Not available"
22,18,"2015","","","2015","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"PLA Unit 78020","CN","China","State affiliated actor","Not available"
24,20,"","","","Not available","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","KG","Kyrgyzstan","Unknown","Not available"
25,21,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
26,21,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
27,22,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
28,22,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
30,24,"2006","","","2006","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State","Not available"
31,25,"2011","","","2011","IT-security community attributes attacker","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"PLA Unit 61398","CN","China","Non-state-group","Criminal(s)"
31,25,"2011","","","2011","IT-security community attributes attacker","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","CN","China","State affiliated actor","Not available"
32,25,"2011","","","2011","Attribution by third-party","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","CN","China","State affiliated actor","Not available"
32,25,"2011","","","2011","Attribution by third-party","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","PLA Unit 61398","CN","China","State affiliated actor","Not available"
33,25,"2011","","","2011","Contested attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","CN","China","State affiliated actor","Not available"
