"id","incident_id","name","country","category","subcategory"
"2_0",2,"Not available","Armenia","State institutions / political system","Civil service / administration"
"2_1",2,"Not available","Armenia","Media","Not available"
"2_2",2,"Not available","Armenia","Other","Not available"
"3_0",3,"Not available","Azerbaijan","Social groups","Advocacy / activists (e.g. human rights organizations)"
"3_1",3,"Not available","Azerbaijan","End user(s) / specially protected groups","Not available"
"3_2",3,"Not available","Azerbaijan","Media","Not available"
"4_0",4,"Not available","Taiwan","State institutions / political system","Government / ministries"
"5_0",5,"Not available","United States","State institutions / political system","Government / ministries"
"5_1",5,"Not available","United States","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"6_0",6,"","China","Other","Not available"
"7_0",7,"","Japan","Social groups","Not available"
"7_1",7,"","Japan","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"7_2",7,"","Japan","End user(s) / specially protected groups","Not available"
"8_0",8,"","Afghanistan","Critical infrastructure","Health"
"9_0",9,"Not available","India","Media","Not available"
"10_0",10,"","United States","State institutions / political system","Legislative"
"10_1",10,"","United States","State institutions / political system","Civil service / administration"
"10_2",10,"","United States","State institutions / political system","Election infrastructure / related systems"
"10_3",10,"","United States","Social groups","Religious"
"10_4",10,"","United States","End user(s) / specially protected groups","Not available"
"10_5",10,"","United States","Science","Not available"
"11_0",11,"","United States","State institutions / political system","Government / ministries"
"11_1",11,"","United States","State institutions / political system","Military"
"11_2",11,"","United States","Critical infrastructure","Defence industry"
"12_0",11,"","United Kingdom","State institutions / political system","Government / ministries"
"12_1",11,"","United Kingdom","State institutions / political system","Military"
"12_2",11,"","United Kingdom","Critical infrastructure","Defence industry"
"14_0",13,"","Korea, Republic of","State institutions / political system","Government / ministries"
"14_1",13,"","Korea, Republic of","State institutions / political system","Military"
"14_2",13,"","Korea, Republic of","State institutions / political system","Police"
"14_3",13,"","Korea, Republic of","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"14_4",13,"","Korea, Republic of","Science","Not available"
"15_0",14,"","Taiwan","State institutions / political system","Government / ministries"
"15_1",14,"","Taiwan","State institutions / political system","Political parties"
"16_0",15,"","Korea, Republic of","State institutions / political system","Government / ministries"
"17_0",16,"","Greece","State institutions / political system","Political parties"
"17_1",16,"","Greece","International / supranational organization","Not available"
"17_2",16,"","Greece","Other","Not available"
"18_0",17,"","Japan","State institutions / political system","Government / ministries"
"18_1",17,"","Japan","Social groups","Religious"
"18_2",17,"","Japan","End user(s) / specially protected groups","Not available"
"18_3",17,"","Japan","Science","Not available"
"18_4",17,"","Japan","State institutions / political system","Police"
"19_0",18,"","India","State institutions / political system","Government / ministries"
"19_1",18,"","India","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"19_2",18,"","India","Media","Not available"
"20_0",18,"","United States","State institutions / political system","Government / ministries"
"20_1",18,"","United States","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"20_2",18,"","United States","Media","Not available"
"21_0",18,"","Vietnam","State institutions / political system","Government / ministries"
"21_1",18,"","Vietnam","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"21_2",18,"","Vietnam","Media","Not available"
"22_0",18,"","Myanmar","State institutions / political system","Government / ministries"
"22_1",18,"","Myanmar","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"22_2",18,"","Myanmar","Media","Not available"
"23_0",18,"","Philippines","State institutions / political system","Government / ministries"
"23_1",18,"","Philippines","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"23_2",18,"","Philippines","Media","Not available"
"24_0",18,"","Korea, Republic of","State institutions / political system","Government / ministries"
"24_1",18,"","Korea, Republic of","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"24_2",18,"","Korea, Republic of","Media","Not available"
"25_0",18,"","Singapore","State institutions / political system","Government / ministries"
"25_1",18,"","Singapore","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"25_2",18,"","Singapore","Media","Not available"
"26_0",18,"","Saudi Arabia","State institutions / political system","Government / ministries"
"26_1",18,"","Saudi Arabia","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"26_2",18,"","Saudi Arabia","Media","Not available"
"27_0",18,"","Thailand","State institutions / political system","Government / ministries"
"27_1",18,"","Thailand","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"27_2",18,"","Thailand","Media","Not available"
"29_0",19,"","United States","State institutions / political system","Government / ministries"
"29_1",19,"","United States","Critical infrastructure","Energy"
"29_2",19,"","United States","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"29_3",19,"","United States","Media","Not available"
"29_4",19,"","United States","Critical infrastructure","Finance"
"28_0",19,"","Brazil","State institutions / political system","Government / ministries"
"28_1",19,"","Brazil","Critical infrastructure","Energy"
"28_2",19,"","Brazil","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"28_3",19,"","Brazil","Media","Not available"
"28_4",19,"","Brazil","Critical infrastructure","Finance"
"31_0",19,"","France","State institutions / political system","Government / ministries"
"31_1",19,"","France","Critical infrastructure","Energy"
"31_2",19,"","France","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"31_3",19,"","France","Media","Not available"
"31_4",19,"","France","Critical infrastructure","Finance"
"34_0",19,"","Kazakhstan","State institutions / political system","Government / ministries"
"34_1",19,"","Kazakhstan","Critical infrastructure","Energy"
"34_2",19,"","Kazakhstan","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"34_3",19,"","Kazakhstan","Media","Not available"
"34_4",19,"","Kazakhstan","Critical infrastructure","Finance"
"32_0",19,"","United Arab Emirates","State institutions / political system","Government / ministries"
"32_1",19,"","United Arab Emirates","Critical infrastructure","Energy"
"32_2",19,"","United Arab Emirates","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"32_3",19,"","United Arab Emirates","Media","Not available"
"32_4",19,"","United Arab Emirates","Critical infrastructure","Finance"
"33_0",19,"","India","State institutions / political system","Government / ministries"
"33_1",19,"","India","Critical infrastructure","Energy"
"33_2",19,"","India","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"33_3",19,"","India","Media","Not available"
"33_4",19,"","India","Critical infrastructure","Finance"
"30_0",19,"","Russia","State institutions / political system","Government / ministries"
"30_1",19,"","Russia","Critical infrastructure","Energy"
"30_2",19,"","Russia","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Not available"
"30_3",19,"","Russia","Media","Not available"
"30_4",19,"","Russia","Critical infrastructure","Finance"
"35_0",20,"","Kyrgyzstan","State institutions / political system","Political parties"
