"Policy initiative ID","STIP URL","Country","Creation date in the survey","Last modification date in the survey","English name","Original name(s)","Acronym","Start date","End date","Description","Objective(s)","Background","Yearly budget range (in EUR)","Responsible organisation(s)","Public access URL","Is structural reform ?","Shift(s) related to Covid-19","Parent initiative(s)","Is evaluated ?","Evaluation URL","Theme area(s)","Theme(s)","Target group type(s)","Target group(s)","Policy instrument ID","Policy instrument type category","Policy instrument type","Policy instrument name","Policy instrument description(s)","Policy instrument mini-field(s)"
"14045","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14045","Denmark","2017-11-07T14:44:35Z","2025-08-11T15:57:00Z","Act on Inventions at Public Research Institutions","Lov om opfindelser ved offentlige forskningsinstitutioner (forskerpatentloven)","","1999","","The act regulates the management of intellectual property to inventions at public research institutions giving the institutions privilege to acquire ownership and negotiate IP-contracts with industry.","The overall purpose of the act is to ensure that research results generated by public funds are utilized for the Danish society through commercial exploitation.|Promote protection and facilitate transfer of intellectual property rights from public research to the private business sector.|Allow universities to invest in patenting, take equity in spinouts and provide an incentive structure, where commercial revenues are shared between institutions and the inventing researchers.","The act on inventions at public research institutions defines the ownership regime for intellectual property at universities, university hospitals and government research institutes. <br/><br/>The progress in performance since 2000 has been monitored in annual commercialization surveys and addressed in a number of evaluations. In 2019 a national expert group finalized a review of the legal framework and institutional practice for technology transfer, which subsequently also informed the 2019 International Peer Review of the Danish Research & Innovation System (Horizon 2020 Policy Support Facility)","Not applicable","Ministry of Higher Education and Science (MHES;Uddannelses- og Forskningsministeriet)","https://www.retsinformation.dk/eli/lta/2009/210","false","","true","https://ufm.dk/publikationer/2014/vidensamarbejde-under-lup-evaluering-af-universiteternes-erhvervssamarbejde-og-teknologioverforselhttps://ufm.dk/publikationer/2017/universiteternes-opfolgning-pa-evalueringen-vidensamarbejde-under-luphttps://ufm.dk/publikationer/2004/evaluering-af-forskerpatentlovenhttps://ufm.dk/publikationer/2019/styrket-teknologioverforsel-fra-universiteterne-eftersyn-af-regler-og-praksis","Knowledge exchange and co-creation","Commercialisation of public research results|Intellectual property rights in public research","Firms by age|Firms by size|Intermediaries|Research and education organisations|Researchers, students and teachers","Established researchers|Firms of any age|Firms of any size|Higher education institutes|Public research institutes|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14045/instrument/8961","Guidance, regulation and incentives","Intellectual property regulation and incentives","Act on inventions at public research institutions","",": Legislation, Intellectual property regime reform (e.g. patent law)|: Registration and ownership|: Patents, Utility models"
"14098","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14098","Brazil","2017-11-09T20:53:00Z","2025-08-11T15:57:07Z","Legal Framework on Science, Technology and Innovation - Law 13.243 of January 11, 2016","Marco Legal de Ciência, Tecnologia e Inovação - Lei 13.243, de 11 de janeiro de 2016","","2016","","Federal law established to foster the scientific development, research, scientific and technological capacity-building and innovation.","Foster scientific and technological activities as strategies for economic and social development.|Foster cooperation and interaction among public and private sectors, and companies.|Strengthen operational, scientific, technological and administrative capacities of scientific and technological institutions.","Law no. 13.243, 2016 alters Law no. 10.973, 2004 (Innovation Law) and aims to foster cooperation between public research institutions and the private sector. The new legislation states that the government must have specific policies concerning the internationalization of PRIs, including aspects such as funding, management and support. Full implementation of the new legislation, however, need further regulation by executive order.","Not applicable","Ministry of Agriculture, Livestock and Supply (MAPA;Ministério da Agricultura, Pecuária e Abastecimento)|Ministry of Science, Technology and Innovation (MCTI;Ministério da Ciência, Tecnologia e Inovação)|Ministry of Finance (MF;Ministério da Fazenda)|Ministry of Health (MS;Ministério da Saúde)","http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13243.htm","false","","false","","Governance|Human resources for research and innovation|Knowledge exchange and co-creation|Public research system","Inter-sectoral mobility|International STI governance policy|Internationalisation in public research|Research careers|Structural change in the public research system","Economic actors (individuals)|Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers","Entrepreneurs|Established researchers|Firms of any age|Firms of any size|Higher education institutes|Incubators, accelerators, science parks or technoparks|National government|Private investors|Private research and development lab|Public research institutes|Subnational government|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14098/instrument/8886","Governance","Strategies, agendas and plans","Legal Framework on Science, Technology and Innovation - Law 13.243 of January 11, 2016","","Degree of coordination in implementing strategy (select the highest that applies): 4- Strategy dictates public bodies' activities or budgets|Follow-up mechanism: None|Specific sector(s) targeted: None specifically targeted"
"14161","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14161","Denmark","2017-11-13T14:27:25Z","2025-08-11T15:57:25Z","Model Agreement Toolkit for University-Business Collaboration","Johan Schlüter-udvalgets modelaftaler","","2008","","The toolkit present five model agreements, which are tailored to different types of collaboration between research institutions and companies.","To facilitate negotiation of R&D-collaboration agreements between universities and industry, including access to commercial exploitation of inventions.","Initiated as a result of the Governments Globalisation strategy in 2006. The Johan Schlüter Committee Model Agreements provide a practical tool for private enterprises and public research institutions entering into research collaboration. To facilitate the negotiation of contracts five Model Agreements have been tailored for various types of research collaboration. The Model Agreements and accompanying manuals offer practical guidance in respect to issues such as the management of intellectual property rights, publication of research results, and confidentiality on business secrets in joint research projects","Not applicable","Ministry of Higher Education and Science (MHES;Uddannelses- og Forskningsministeriet)","www.ufm.dk/modelaftaler","false","","false","","Knowledge exchange and co-creation","Commercialisation of public research results|Intellectual property rights in public research","Firms by age|Firms by size|Intermediaries|Research and education organisations","Firms of any age|Firms of any size|Higher education institutes|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14161/instrument/8959","Guidance, regulation and incentives","Technology extension and business advisory services","N/A","",": Public body from national government|: Other|: Intellectual property commercialisation (e.g. licensing and royalty agreements)"
"14249","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14249","Canada","2017-11-14T17:39:00Z","2025-08-11T15:57:49Z","Tri-Agency Open Access Policy on Publications","","OA Policy","2015","","The policy stipulates that grant recipients are required to ensure that any peer-reviewed journal publications arising from Agency-supported research are freely accessible within 12 months of publication.","The objective of this policy is to improve access to the results of Agency-funded research, and to increase the dissemination and exchange of research results. All researchers, regardless of funding support, are encouraged to adhere to this policy.","Momentum for open access has been growing as numerous funding agencies and institutions worldwide implement open access policies. The Canadas federal granting agencies strongly support open access to research results which promotes the principle of knowledge sharing and mobilization – an essential objective of academia. As research and scholarship become increasingly multi-disciplinary and collaborative, both domestically and internationally, the Agencies are working to facilitate research partnerships by harmonizing domestic policies and aligning with the global movement to open access.<br/> <br/>In July 2023, the Presidents of the Agencies announced the review of the OA Policy, with the goal of requiring that any peer-reviewed journal publications arising from agency-supported research be freely available, without subscription or fee, at the time of publication. In February 2025, the agencies invited feedback on the draft revised policy. The renewed OA Policy will be released by the end of 2025.","Not applicable","Canadian Institutes of Health Research (CIHR;)|Natural Sciences and Engineering Research Council (NSERC;)|Social Sciences and Humanities Research Council (SSHRC;)","http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html|https://science.gc.ca/site/science/en/interagency-research-funding/policies-and-guidelines/open-access","true","","false","","Knowledge exchange and co-creation|Public research system","Knowledge exchange and co-creation strategies|Open and enhanced access to publications","Economic actors (individuals)|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers","Academic societies / academies|Entrepreneurs|Established researchers|Incubators, accelerators, science parks or technoparks|Industry associations|International entity|National government|Non-governmental organisations (NGOs)|PhD students|Postdocs and other early-career researchers|Private research and development lab|Public research institutes|Subnational government|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14249/instrument/12165","Governance","Strategies, agendas and plans","","","Degree of coordination in implementing strategy (select the highest that applies): 4- Strategy dictates public bodies' activities or budgets|Follow-up mechanism: Dedicated budget allocations|Specific sector(s) targeted: None specifically targeted"
"14942","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14942","Thailand","2017-11-21T21:22:21Z","2025-08-11T16:12:06Z","Internet of Things Institute","สถาบันไอโอทีเพื่อพัฒนาอุตสาหกรรมดิจิทัลแห่งอนาคต","","2017","","An Internet of Things (IoT) Institute will be set up to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","To upgrade ICT industry to a new s-curve digital industry, by focusing on the enabling technologies such as Internet of Things (IoT), robotics, artificial intelligence and big data.|To create new jobs in the field of digital technology to support the fast-growing and fast-changing technologies.|To enhance competitiveness in the private sector with the development of IoT.|To boost investors’ confidence in the Digital Thailand Park.|To prepare human resources in all levels for digital industry, and enhance the capacity in automation, robotics and artificial intelligence.|To serve as a transit point for industrial goods and agricultural products in the Eastern Economic Corridor (EEC) by applying digital technology and IoT.","The Thai government aims to transform Thailand to an innovative-driven economy to lay strong foundation for the future sustainable growth. Eastern Economic Corridor (EEC) will be developed into a leading ASEAN economic zone to support 10 target industries identified as new growth engines. Thailand 4.0 policy calls for the transformation from value-added industry to value-creation industry and digital technology is one of the key drivers to achieve this goal. <br/><br/>An Internet of Things (IoT) Institute will be set up as a pilot project to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","Not applicable","The Belgian Federal Science Policy Office (BELSPO;Federaal wetenschapsbeleid)|Digital Economy Promotion Agency (DEPA;สำนักงานส่งเสริมเศรษฐกิจดิจิทัล)","","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Cluster policies|Digital transformation of firms","Economic actors (individuals)|Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Academic societies / academies|Civil society|Entrepreneurs|Established researchers|Firms of any age|Firms of any size|Higher education institutes|Incubators, accelerators, science parks or technoparks|Industry associations|National government|Private investors|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14942/instrument/9687","Direct financial support","Equity financing","","","Type of financing: Seed capital (early stage)|Type of fund: Co-investment fund"
"14942","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14942","Thailand","2017-11-21T21:22:21Z","2025-08-11T16:12:06Z","Internet of Things Institute","สถาบันไอโอทีเพื่อพัฒนาอุตสาหกรรมดิจิทัลแห่งอนาคต","","2017","","An Internet of Things (IoT) Institute will be set up to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","To upgrade ICT industry to a new s-curve digital industry, by focusing on the enabling technologies such as Internet of Things (IoT), robotics, artificial intelligence and big data.|To create new jobs in the field of digital technology to support the fast-growing and fast-changing technologies.|To enhance competitiveness in the private sector with the development of IoT.|To boost investors’ confidence in the Digital Thailand Park.|To prepare human resources in all levels for digital industry, and enhance the capacity in automation, robotics and artificial intelligence.|To serve as a transit point for industrial goods and agricultural products in the Eastern Economic Corridor (EEC) by applying digital technology and IoT.","The Thai government aims to transform Thailand to an innovative-driven economy to lay strong foundation for the future sustainable growth. Eastern Economic Corridor (EEC) will be developed into a leading ASEAN economic zone to support 10 target industries identified as new growth engines. Thailand 4.0 policy calls for the transformation from value-added industry to value-creation industry and digital technology is one of the key drivers to achieve this goal. <br/><br/>An Internet of Things (IoT) Institute will be set up as a pilot project to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","Not applicable","The Belgian Federal Science Policy Office (BELSPO;Federaal wetenschapsbeleid)|Digital Economy Promotion Agency (DEPA;สำนักงานส่งเสริมเศรษฐกิจดิจิทัล)","","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Cluster policies|Digital transformation of firms","Economic actors (individuals)|Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Academic societies / academies|Civil society|Entrepreneurs|Established researchers|Firms of any age|Firms of any size|Higher education institutes|Incubators, accelerators, science parks or technoparks|Industry associations|National government|Private investors|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14942/instrument/9688","Indirect financial support","Tax or social contributions relief for firms investing in R&D and innovation","N/A","",""
"14942","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14942","Thailand","2017-11-21T21:22:21Z","2025-08-11T16:12:06Z","Internet of Things Institute","สถาบันไอโอทีเพื่อพัฒนาอุตสาหกรรมดิจิทัลแห่งอนาคต","","2017","","An Internet of Things (IoT) Institute will be set up to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","To upgrade ICT industry to a new s-curve digital industry, by focusing on the enabling technologies such as Internet of Things (IoT), robotics, artificial intelligence and big data.|To create new jobs in the field of digital technology to support the fast-growing and fast-changing technologies.|To enhance competitiveness in the private sector with the development of IoT.|To boost investors’ confidence in the Digital Thailand Park.|To prepare human resources in all levels for digital industry, and enhance the capacity in automation, robotics and artificial intelligence.|To serve as a transit point for industrial goods and agricultural products in the Eastern Economic Corridor (EEC) by applying digital technology and IoT.","The Thai government aims to transform Thailand to an innovative-driven economy to lay strong foundation for the future sustainable growth. Eastern Economic Corridor (EEC) will be developed into a leading ASEAN economic zone to support 10 target industries identified as new growth engines. Thailand 4.0 policy calls for the transformation from value-added industry to value-creation industry and digital technology is one of the key drivers to achieve this goal. <br/><br/>An Internet of Things (IoT) Institute will be set up as a pilot project to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","Not applicable","The Belgian Federal Science Policy Office (BELSPO;Federaal wetenschapsbeleid)|Digital Economy Promotion Agency (DEPA;สำนักงานส่งเสริมเศรษฐกิจดิจิทัล)","","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Cluster policies|Digital transformation of firms","Economic actors (individuals)|Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Academic societies / academies|Civil society|Entrepreneurs|Established researchers|Firms of any age|Firms of any size|Higher education institutes|Incubators, accelerators, science parks or technoparks|Industry associations|National government|Private investors|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14942/instrument/9689","Guidance, regulation and incentives","Technology extension and business advisory services","N/A","",": Public body from national government|: Consultancy, Networking with investors, clients, suppliers, etc.|: Support the adoption of existing technologies, Product development"
"14942","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F14942","Thailand","2017-11-21T21:22:21Z","2025-08-11T16:12:06Z","Internet of Things Institute","สถาบันไอโอทีเพื่อพัฒนาอุตสาหกรรมดิจิทัลแห่งอนาคต","","2017","","An Internet of Things (IoT) Institute will be set up to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","To upgrade ICT industry to a new s-curve digital industry, by focusing on the enabling technologies such as Internet of Things (IoT), robotics, artificial intelligence and big data.|To create new jobs in the field of digital technology to support the fast-growing and fast-changing technologies.|To enhance competitiveness in the private sector with the development of IoT.|To boost investors’ confidence in the Digital Thailand Park.|To prepare human resources in all levels for digital industry, and enhance the capacity in automation, robotics and artificial intelligence.|To serve as a transit point for industrial goods and agricultural products in the Eastern Economic Corridor (EEC) by applying digital technology and IoT.","The Thai government aims to transform Thailand to an innovative-driven economy to lay strong foundation for the future sustainable growth. Eastern Economic Corridor (EEC) will be developed into a leading ASEAN economic zone to support 10 target industries identified as new growth engines. Thailand 4.0 policy calls for the transformation from value-added industry to value-creation industry and digital technology is one of the key drivers to achieve this goal. <br/><br/>An Internet of Things (IoT) Institute will be set up as a pilot project to enhance the capability of ICT industry, which includes hardware, software and digital service, to cater to the need of manufacturing and agricultural sectors through the use of automation and artificial intelligence.","Not applicable","The Belgian Federal Science Policy Office (BELSPO;Federaal wetenschapsbeleid)|Digital Economy Promotion Agency (DEPA;สำนักงานส่งเสริมเศรษฐกิจดิจิทัล)","","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Cluster policies|Digital transformation of firms","Economic actors (individuals)|Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Academic societies / academies|Civil society|Entrepreneurs|Established researchers|Firms of any age|Firms of any size|Higher education institutes|Incubators, accelerators, science parks or technoparks|Industry associations|National government|Private investors|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/14942/instrument/9690","Guidance, regulation and incentives","Labour mobility regulation and incentives","","","Mechanism: Service or information (e.g. web portal), Networking (e.g. coordinating staff exchange)|Screening scheme: Not applicable|Type of mobility: International, Within country"
"15029","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F15029","Portugal","2017-11-22T14:30:34Z","2025-08-11T16:12:23Z","Born From Knowledge","BORN FROM KNOWLEDGE","BfK","2016","","Born from Knowledge (BfK) is a programme promoted by the National Innovation Agency (ANI) and designed to support multiple levels of the Academic Spin-off cycle, from the initial ideation, to capacity-building for entrepreneurs and recognition of successful cases with prizes.","Raise awareness about the importance of investment in Science, Research, and Development (R&D) and its economic impact.|Operate in relevant areas and functions, offering a complete and integrated set of supports (financial and capacity-building).|Promote, disseminate, and reward good practices and success stories, including previously generated knowledge.|Increase the percentage of scientific and technological knowledge applied in innovation, contributing to the transformation of the business sector and generating economic and social impact.|Generate and promote scientific and technological employment, both in existing companies and organizations and through the creation of new knowledge-based companies.|Foster a culture and practices of Open Science and Open Innovation.","This initiative was created to:<br/>1) promote an entrepreneurial attitude in Academia, disseminating good practices and creating a visible path for entrepreneurs at all Higher Education organizations in Portugal;<br/>2) support concrete projects and entrepreneurs, through capacity-building and prizes.<br/><br/>In the current environment, with all participating Academic institutions having created internal mechanisms to support entrepreneurial initiatives, the programme is entering a new phase, with a bigger focus on deep tech spin-offs, which shall be supported through vouchers for diverse services (Deep2Start Programme).<br/><br/><br/>BfK initiatives include:<br/>- an idea contest (BfK Ideas) to rewards business ideas from students and researchers from Higher Education Institutions (HEIs) that result from R&D activities or the scientific and/or technological knowledge of their promoters;<br/><br/>- an Acceleration Program (BfK Rise) aimed at enhancing the value of the results of Research & Development (R&D) and existing technologies within the National Scientific and Technological System (SCTN) with commercialization potential;<br/><br/>- a distinction (BfK Awards) to recognize projects and companies “born from knowledge” that stand out in Research & Development (R&D) activities, particularly collaborative ones.","1M-5M","Startup Portugal (;)|National Innovation Agency (ANI;Agência Nacional de Inovação)","https://ani.pt/born-from-knowledge-bfk/|http://bfk.ani.pt/pt/","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Commercialisation of public research results|Entrepreneurship capabilities and culture|Stimulating demand for innovation and market creation","Economic actors (individuals)|Firms by age|Firms by size|Intermediaries|Research and education organisations|Researchers, students and teachers","Entrepreneurs|Established researchers|Higher education institutes|Incubators, accelerators, science parks or technoparks|Micro-enterprises|Nascent firms (0 to less than 1 year old)|PhD students|Postdocs and other early-career researchers|Technology transfer offices|Undergraduate and master students|Young firms (1 to 5 years old)","http://stip.oecd.org/2025/data/policyInitiatives/15029/instrument/12429","Guidance, regulation and incentives","Science and innovation challenges, prizes and awards","N/A","",""
"15153","https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2025%2Fdata%2FpolicyInitiatives%2F15153","Brazil","2017-11-23T14:11:26Z","2025-08-11T16:13:10Z","Partnership for Productive Development","Parcerias para o Desenvolvimento Produtivo","PDP","2015","","PDPs are partnerships that involve a agreement cooperation between public institutions and public and private institutions, in order to develop, transfer and assimilate technology, as well as production processes of strategic products for health, specially attending the SUS (Unique System of Health) demands.","Increase population access to strategic products and reduce the SUS vulnerability, by fostering the development and manufacturing of these products.|Support the technological development and knowledge exchanges for innovation of public institutions and private companies, converting them more competitive.|Reduce productivity and technological dependence to attend the population health requirements, based on the constitutional principles of universal and equality access to health services.|Try to obtain SUS technological and economic sustainability, by fostering productive capacity and innovation.|Rationalize the State purchasing power, through expenditure centralization, aiming SUS sustainability and increasing Brazilian production of strategic products for health.","","More than 500M","Ministry of Health (MS;Ministério da Saúde)","https://www.gov.br/saude/pt-br/assuntos/complexo-industrial-da-saude/instrumentos-estrategicos/pdp|https://www.gov.br/saude/pt-br/composicao/sectics/deciis/pdp","false","","false","","Innovation in firms and innovative entrepreneurship|Knowledge exchange and co-creation","Collaborative research and innovation|Stimulating demand for innovation and market creation","Firms by age|Firms by size|Governmental entities|Intermediaries","Firms of any age|Firms of any size|Incubators, accelerators, science parks or technoparks|Industry associations|National government|Subnational government|Technology transfer offices","http://stip.oecd.org/2025/data/policyInitiatives/15153/instrument/99994958","Direct financial support","Procurement programmes for R&D and innovation","N/A","Program aims to promote technology transfer from private to public institutions related to health strategic products and supplies.",""
