"chr","start","end","label"
"chrD2","1","69000","T16517"
"chrD1","1","64011","T16509"
"chrD4","1","61390","T16511"
"chrD3","1","60675","T16521"
"chrD7","1","59750","T16512"
"chrD3","61175","116769","T16516"
"chrD3","117269","172724","T21057"
"chrD4","61890","114246","T16520"
"chrD4","114746","164193","T21058"
"chrD3","173224","222626","T16528"
"chrD3","223126","270880","T16523"
"chrD3","271380","316907","T16514"
"chrD4","164693","210123","T16510"
"chrD3","317407","360900","T16515"
"chrD3","361400","403616","T16530"
"chrD5","1","41987","T16518"
"chrD1","64511","105970","T16519"
"chrD4","210623","250939","T16525"
"chrD4","251439","291605","T16522"
"chrD2","69500","104059","T16513"
