chr,start,end,label
chrD2,1,69000,16517
chrD1,1,64011,16509
chrD4,1,61390,16511
chrD3,1,60675,16521
chrD7,1,59750,16512
chrD3,61175,116769,16516
chrD3,117269,172724,21057
chrD4,61890,114246,16520
chrD4,114746,164193,21058
chrD3,173224,222626,16528
chrD3,223126,270880,16523
chrD3,271380,316907,16514
chrD4,164693,210123,16510
chrD3,317407,360900,16515
chrD3,361400,403616,16530
chrD5,1,41987,16518
chrD1,64511,105970,16519
chrD4,210623,250939,16525
chrD4,251439,291605,16522
chrD2,69500,104059,16513
